Kanti Sweets,4
Subway,4
Pot Biryani,4.3
Yang Chow,4.3
BG's Poolside Bar & Grill,4.3
Kanti Sweets,4.5
Chiller's Nation,3.4
Floating Cafe,5
Gopaljee Cafe,2.7
Momo Cafe,4.1
Barbeque Nation,4.3
Cake Dilim,5
Beijing Bites,3.8
Thanco's Natural Ice Cream,1
Kanti Sweets,4.8
Juice Junction,4.3
Pizza Hut,4.2
Cake Dilim,4.4
High-Drate,4.3
Beijing Bites,4.1
Botlee Bar by Sarovar Portico,4.2
Punjabi Masala,4.5
Shanghai Court,4.2
Chef Baker's,4.1
Chef Baker's,4.3
Rolls On Wheels,2.5
Kanti Sweets,4.6
U.S. Pizza,2.5
Cake Dilim,4.5
Kanti Sweets,4.5
Flavours of India,3.9
Chef Baker's,3.8
Mugful Of Stories,4.3
Brunchilly by Sarovar Portico,3.9
Cold Stone Creamery,3.9
Biergarten,4.4
Vapour Brewpub and Diner,4.2
Potful,4.3
Good Food,2.3
Lord of The Drinks,4
Buzz A Pizza,5
Black Velvet,3.9
Cafe Nosh,3.9
Buffalo Wild Wings,4.2
Chai Central,4.3
Tea Post - Indian Paratha Factory,1
Chaatimes,4.3
Brews N Bites,3.1
Biryani Day,5
The Whitefield Arms,4.1
Potful,4.3
Dr Sheesha,4.2
Foxtrot,4.1
Jalsa Gold,4.2
Kabab Mandra,3.7
The Big Barbeque,3.9
Khandani Rajdhani,4
California Burrito,4.5
Chili's American Grill and Bar,4.3
Melange,4.2
Copper Chimney,4.1
Gabbar Chai,4.1
Subway,2.3
Tashann,4.2
Cocofit,4.9
Savoury Express Counter,3.7
ABs - Absolute Barbecues,4.3
Noodle Bar,4.3
Cafe Noir,4.2
Barley & Grapes Cafe,4.4
Alt - Rooftop Bar & Lounge,4
Dhaba Estd 1986 Delhi,4
Shao,4.6
The Boozy Griffin,4.2
Sky Garden,4.1
Pizza Hut,4.6
Mad Over Donuts,4.3
Kanti Sweets,4.5
Haagen-Dazs,4
Kanti Sweets,4.3
Drink And Dine,4.2
